Title,Authors,Link,Bookshelf
George Sand: Some Aspects of Her Life and Writings,"Doumic, René, 1860-1937, Hallard, Alys [Translator]",http://www.gutenberg.org/ebooks/138,
The Lost World,Doyle, Arthur Conan, 1859-1930,http://www.gutenberg.org/ebooks/139,Science Fiction
The Jungle,Sinclair, Upton, 1878-1968,http://www.gutenberg.org/ebooks/140,"Contemporary Reviews, Bestsellers, American, 1895-1923, Banned Books from Anne Haight's list, Banned Books List from the American Library Association"
Mansfield Park,Austen, Jane, 1775-1817,http://www.gutenberg.org/ebooks/141,
The $30,000 Bequest, and Other Stories,Twain, Mark, 1835-1910,http://www.gutenberg.org/ebooks/142,
The Mayor of Casterbridge,Hardy, Thomas, 1840-1928,http://www.gutenberg.org/ebooks/143,
The Voyage Out,Woolf, Virginia, 1882-1941,http://www.gutenberg.org/ebooks/144,
Middlemarch,Eliot, George, 1819-1880,http://www.gutenberg.org/ebooks/145,"Best Books Ever Listings, Historical Fiction"
A Little Princess Being the whole story of Sara Crewe now told for the first time,Burnett, Frances Hodgson, 1849-1924,http://www.gutenberg.org/ebooks/146,"Children's Literature, School Stories"
Common Sense,Paine, Thomas, 1737-1809,http://www.gutenberg.org/ebooks/147,
The Autobiography of Benjamin Franklin,"Franklin, Benjamin, 1706-1790, Eliot, Charles William, 1834-1926 [Editor]",http://www.gutenberg.org/ebooks/148,Harvard Classics
The Lost Continent,Burroughs, Edgar Rice, 1875-1950,http://www.gutenberg.org/ebooks/149,Science Fiction
The Republic,"Plato, 427? BCE-347? BCE, Jowett, Benjamin, 1817-1893 [Translator]",http://www.gutenberg.org/ebooks/150,
The Rime of the Ancient Mariner,Coleridge, Samuel Taylor, 1772-1834,http://www.gutenberg.org/ebooks/151,
Wild Justice,Sprague, Ruth M.,http://www.gutenberg.org/ebooks/152,
Jude the Obscure,Hardy, Thomas, 1840-1928,http://www.gutenberg.org/ebooks/153,Banned Books from Anne Haight's list
The Rise of Silas Lapham,Howells, William Dean, 1837-1920,http://www.gutenberg.org/ebooks/154,Contemporary Reviews
The Moonstone,Collins, Wilkie, 1824-1889,http://www.gutenberg.org/ebooks/155,"Detective Fiction, Mystery Fiction"
Symphony No. 5 in C minor, Opus 67,Beethoven, Ludwig van, 1770-1827,http://www.gutenberg.org/ebooks/156,
Daddy-Long-Legs,Webster, Jean, 1876-1916,http://www.gutenberg.org/ebooks/157,School Stories
Emma,Austen, Jane, 1775-1817,http://www.gutenberg.org/ebooks/158,
The island of Doctor Moreau,Wells, H. G. (Herbert George), 1866-1946,http://www.gutenberg.org/ebooks/159,"Science Fiction, Best Books Ever Listings, Movie Books"
The Awakening, and Selected Short Stories,Chopin, Kate, 1850-1904,http://www.gutenberg.org/ebooks/160,"Banned Books from Anne Haight's list, Banned Books List from the American Library Association"
Sense and Sensibility,Austen, Jane, 1775-1817,http://www.gutenberg.org/ebooks/161,
Take Me for a Ride: Coming of Age in a Destructive Cult,Laxer, Mark E.,http://www.gutenberg.org/ebooks/162,
Flower Fables,Alcott, Louisa May, 1832-1888,http://www.gutenberg.org/ebooks/163,Children's Literature
Twenty Thousand Leagues under the Sea,Verne, Jules, 1828-1905,http://www.gutenberg.org/ebooks/164,Science Fiction
McTeague: A Story of San Francisco,Norris, Frank, 1870-1902,http://www.gutenberg.org/ebooks/165,
Summer,Wharton, Edith, 1862-1937,http://www.gutenberg.org/ebooks/166,
American Hand Book of the Daguerreotype,Humphrey, S. D. (Samuel Dwight), 1823-1883,http://www.gutenberg.org/ebooks/167,"Art, Photography"
The History and Practice of the Art of Photography,Snelling, Henry Hunt, 1816-1897,http://www.gutenberg.org/ebooks/168,"Art, Photography"
The Well at the World's End: A Tale,Morris, William, 1834-1896,http://www.gutenberg.org/ebooks/169,Fantasy
The Haunted Hotel: A Mystery of Modern Venice,Collins, Wilkie, 1824-1889,http://www.gutenberg.org/ebooks/170,
Charlotte Temple,Rowson, Mrs., 1762-1824,http://www.gutenberg.org/ebooks/171,
The Haunted Bookshop,Morley, Christopher, 1890-1957,http://www.gutenberg.org/ebooks/172,Bibliomania
The Insidious Dr. Fu Manchu,Rohmer, Sax, 1883-1959,http://www.gutenberg.org/ebooks/173,Crime Fiction
The Picture of Dorian Gray,Wilde, Oscar, 1854-1900,http://www.gutenberg.org/ebooks/174,"Gothic Fiction, Movie Books"
The Phantom of the Opera,Leroux, Gaston, 1868-1927,http://www.gutenberg.org/ebooks/175,"Opera, Gothic Fiction, Movie Books"
Roderick Hudson,James, Henry, 1843-1916,http://www.gutenberg.org/ebooks/176,
The American,James, Henry, 1843-1916,http://www.gutenberg.org/ebooks/177,
Confidence,James, Henry, 1843-1916,http://www.gutenberg.org/ebooks/178,
The Europeans,James, Henry, 1843-1916,http://www.gutenberg.org/ebooks/179,
The 1994 CIA World Factbook,United States. Central Intelligence Agency,http://www.gutenberg.org/ebooks/180,CIA World Factbooks
The Project Gutenberg RST Manual,Perathoner, Marcello,http://www.gutenberg.org/ebooks/181,
The Project Gutenberg Encyclopedia, Volume 1 of 28,Project Gutenberg,http://www.gutenberg.org/ebooks/200,Reference
Flatland: A Romance of Many Dimensions,Abbott, Edwin Abbott, 1838-1926,http://www.gutenberg.org/ebooks/201,"Science Fiction, Mathematics"
My Bondage and My Freedom,Douglass, Frederick, 1818-1895,http://www.gutenberg.org/ebooks/202,"African American Writers, Slavery"
Uncle Tom's Cabin,Stowe, Harriet Beecher, 1811-1896,http://www.gutenberg.org/ebooks/203,"US Civil War, Slavery, Banned Books from Anne Haight's list"
The Innocence of Father Brown,Chesterton, G. K. (Gilbert Keith), 1874-1936,http://www.gutenberg.org/ebooks/204,Detective Fiction
Walden, and On The Duty Of Civil Disobedience,Thoreau, Henry David, 1817-1862,http://www.gutenberg.org/ebooks/205,
The Martin Luther King, Jr. Day, 1995, Memorial Issue,Various,http://www.gutenberg.org/ebooks/206,
The Spell of the Yukon and Other Verses,Service, Robert W. (Robert William), 1874-1958,http://www.gutenberg.org/ebooks/207,Canada
Daisy Miller: A Study,James, Henry, 1843-1916,http://www.gutenberg.org/ebooks/208,
The Turn of the Screw,James, Henry, 1843-1916,http://www.gutenberg.org/ebooks/209,"Opera, Best Books Ever Listings, Horror, Gothic Fiction"
An International Episode,James, Henry, 1843-1916,http://www.gutenberg.org/ebooks/210,
The Aspern Papers,James, Henry, 1843-1916,http://www.gutenberg.org/ebooks/211,
A List of Factorial Math Constants,Unknown,http://www.gutenberg.org/ebooks/212,Mathematics
The Man from Snowy River,Paterson, A. B. (Andrew Barton), 1864-1941,http://www.gutenberg.org/ebooks/213,Australia
In the Days When the World Was Wide, and Other Verses,Lawson, Henry, 1867-1922,http://www.gutenberg.org/ebooks/214,Australia
The Call of the Wild,London, Jack, 1876-1916,http://www.gutenberg.org/ebooks/215,"Animals-Domestic, Adventure, Best Books Ever Listings, Movie Books, Banned Books from Anne Haight's list, Banned Books List from the American Library Association"
The Tao Teh King, or the Tao and its Characteristics,"Laozi, Legge, James, 1815-1897 [Translator]",http://www.gutenberg.org/ebooks/216,Paganism
Sons and Lovers,Lawrence, D. H. (David Herbert), 1885-1930,http://www.gutenberg.org/ebooks/217,"Best Books Ever Listings, Banned Books from Anne Haight's list, Banned Books List from the American Library Association"
C. Iuli Caesaris De Bello Gallico, I-IV,Caesar, Julius, 100 BCE-44 BCE,http://www.gutenberg.org/ebooks/218,Classical Antiquity
Heart of Darkness,Conrad, Joseph, 1857-1924,http://www.gutenberg.org/ebooks/219,"Best Books Ever Listings, Movie Books"
The Secret Sharer,Conrad, Joseph, 1857-1924,http://www.gutenberg.org/ebooks/220,
The Return of Sherlock Holmes,Doyle, Arthur Conan, 1859-1930,http://www.gutenberg.org/ebooks/221,Detective Fiction
The Moon and Sixpence,Maugham, W. Somerset (William Somerset), 1874-1965,http://www.gutenberg.org/ebooks/222,Contemporary Reviews
The Wisdom of Father Brown,Chesterton, G. K. (Gilbert Keith), 1874-1936,http://www.gutenberg.org/ebooks/223,Detective Fiction
A Pair of Blue Eyes,Hardy, Thomas, 1840-1928,http://www.gutenberg.org/ebooks/224,
At the Back of the North Wind,MacDonald, George, 1824-1905,http://www.gutenberg.org/ebooks/225,Children's Literature
Cicero's Orations,Cicero, Marcus Tullius, 106 BCE-43 BCE,http://www.gutenberg.org/ebooks/226,Classical Antiquity
Aeneidos,Virgil, 70 BCE-19 BCE,http://www.gutenberg.org/ebooks/227,"Classical Antiquity, Best Books Ever Listings, Harvard Classics"
The Aeneid,"Virgil, 70 BCE-19 BCE, Dryden, John, 1631-1700 [Translator]",http://www.gutenberg.org/ebooks/228,"Classical Antiquity, Best Books Ever Listings, Poetry, Harvard Classics"
The Bucolics and Eclogues,Virgil, 70 BCE-19 BCE,http://www.gutenberg.org/ebooks/229,Classical Antiquity
The Bucolics and Eclogues,Virgil, 70 BCE-19 BCE,http://www.gutenberg.org/ebooks/230,Classical Antiquity
Georgicon,Virgil, 70 BCE-19 BCE,http://www.gutenberg.org/ebooks/231,Classical Antiquity
The Georgics,"Virgil, 70 BCE-19 BCE, Rhoades, James, 1841-1923 [Translator]",http://www.gutenberg.org/ebooks/232,
Sister Carrie: A Novel,Dreiser, Theodore, 1871-1945,http://www.gutenberg.org/ebooks/233,
Child Christopher and Goldilind the Fair,Morris, William, 1834-1896,http://www.gutenberg.org/ebooks/234,Fantasy
William Gibson Interviewed,Salza, Giuseppe,http://www.gutenberg.org/ebooks/235,
The Jungle Book,Kipling, Rudyard, 1865-1936,http://www.gutenberg.org/ebooks/236,"Scouts, Children's Literature, Movie Books, Contemporary Reviews"
Sexti Properti Elegiarvm: Liber Primvs,Propertius, Sextus,http://www.gutenberg.org/ebooks/237,
Dear Enemy,Webster, Jean, 1876-1916,http://www.gutenberg.org/ebooks/238,Bestsellers, American, 1895-1923
Radar Map of the United States,United States,http://www.gutenberg.org/ebooks/239,
Stories from the Old Attic,Harris, Robert A. (Robert Alan), 1950-,http://www.gutenberg.org/ebooks/240,
"Clotelle, Or, The Colored Heroine, a tale of the Southern States, Or, The President's Daughter",Brown, William Wells, 1814?-1884,http://www.gutenberg.org/ebooks/241,African American Writers
My �?ntonia,Cather, Willa, 1873-1947,http://www.gutenberg.org/ebooks/242,
